rep_new,policy_level,date,organisation,purpose,department,others_at_the_meeting,source,registrant_additional_information,portal_source,RecordId,tag
Emma Harper MSP,MSP,22/02/2024,Family Fund,Discussion with Emma Harper MSP  Member for South Scotland  at Family Fund's exhibition in the Scottish Parliament. We discussed the findings of Family Fund's Window to our world research and what families of disabled children and young people need to be able to enjoy time together.  The purpose was to support better understanding of the challenges which families of disabled children and young people face to being able to enjoy time together and to provide insight into the positive outcomes of grant funding including those grant items which support families to enjoy time together  with a view to this insight informing future policy decisions. In addition  to encourage signposting of Family Fund grants and support to potentially eligible families/constituents. | Location: Scottish Parliament Edinburgh EH99 1SP  | Type: Face to face,Scottish Parliament,,https://www.lobbying.scot/SPS/InformationReturn/SearchInformationReturnDetail/49916,Type: None | Lobbyist names: Salena Begley MBE | Entity lobbying on behalf of organisation: None,Scottish lobbying register,97429,
Jeremy Balfour MSP,MSP,22/02/2024,Family Fund,Discussion with Jeremy Balfour MSP  Member for Lothian  at Family Fund's exhibition in the Scottish Parliament.  We discussed the Window to our world research findings and the benefits of the grants and support which Family Fund provides to families of disabled and seriously ill children and young people.  The purpose was to support better understanding of the challenges which families of disabled children and young people face to being able to enjoy time together and to provide insight into the positive outcomes of grant funding including those grant items which support families to enjoy time together  with a view to this insight informing future policy decisions. In addition  to encourage signposting of Family Fund grants and support to potentially eligible families/constituents.  | Location: Scottish Parliament Edinburgh EH99 1SP  | Type: Face to face,Scottish Parliament,,https://www.lobbying.scot/SPS/InformationReturn/SearchInformationReturnDetail/49914,Type: None | Lobbyist names: Salena Begley MBE | Entity lobbying on behalf of organisation: None,Scottish lobbying register,97430,
Natalie Don MSP,Minister,22/02/2024,Family Fund,Discussion with Natalie Don MSP  Minister for Children  Young People and Keeping the Promise  at Family Fund's exhibition in the Scottish Parliament.  We discussed the Window to our world research findings and the positive benefits of the grants an support that Family Fund's provides to families of disabled children and young people.  The purpose was to support better understanding of the challenges which families of disabled children and young people face being able to enjoy time together  and to provide insight into the positive outcomes of grant funding including those grant items which support families to enjoy time together  with a view to this insight informing future policy decisions. In addition  to encourage signposting of Family Fund grants and support to potentially eligible families/constituents.  | Location: Scottish Parliament Edinburgh EH99 1SP  | Type: Face to face,Scottish Government,,https://www.lobbying.scot/SPS/InformationReturn/SearchInformationReturnDetail/49912,Type: None | Lobbyist names: Salena Begley MBE | Entity lobbying on behalf of organisation: None,Scottish lobbying register,97431,
Humza Yousaf MSP,First Minister,22/02/2024,Family Fund,Discussion with Humza Yousaf MSP  First Minister  at Family Fund's exhibition in the Scottish Parliament. We discussed the Window to our world research findings and the positive benefits of the grants and support Family Fund provide to families of disabled children and young people.  The purpose was to support better understanding of the challenges which families of disabled children and young people face being able to enjoy time together  and to provide insight into the positive outcomes of grant funding including those grant items which support families to enjoy time together  with a view to this insight informing future policy decisions. In addition  to encourage signposting of Family Fund grants and support to potentially eligible families/constituents.  | Location: Scottish Parliament Edinburgh EH99 1SP  | Type: Face to face,Scottish Government,,https://www.lobbying.scot/SPS/InformationReturn/SearchInformationReturnDetail/49911,Type: None | Lobbyist names: Salena Begley MBE | Entity lobbying on behalf of organisation: None,Scottish lobbying register,97432,
Roz McCall MSP,MSP,22/02/2024,Family Fund,Discussion with Roz McCall MSP  Member for Mid Scotland and Fife  at Family Fund's exhibition in the Scottish Parliament.   We discussed Family Fund's Window to our world research findings  the charity's work in Scotland and the opportunity to signpost Family Fund grants and support to potentially eligible constituents.  The purpose was to support better understanding of the challenges which families of disabled children and young people face  such as stigma and discrimination (as highlighted within the window to our world research) and to provide insight into the positive outcomes of grant funding  with a view to this insight informing future policy decisions. In addition  to share information about the work of Family Fund in Scotland. | Location: Scottish Parliament Edinburgh EH99 1SP  | Type: Face to face,Scottish Parliament,,https://www.lobbying.scot/SPS/InformationReturn/SearchInformationReturnDetail/49868,Type: None | Lobbyist names: Salena Begley MBE | Entity lobbying on behalf of organisation: None,Scottish lobbying register,97433,
Jamie Halcro Johnston MSP,MSP,22/02/2024,Family Fund,Discussion with Jamie Halcro Johnston MSP  Member for Highlands and Islands  at Family Fund's exhibition in the Scottish Parliament. We discussed Family Fund's Window to our world research findings  the charity's work in Scotland and the opportunity to signpost Family Fund grants and support to potentially eligible constituents.  The purpose was to support better understanding of the challenges which families of disabled children and young people face and to provide insight into the outcomes of grant funding  with a view to this insight informing future policy decisions. In addition  to share information about the work of Family Fund in Scotland. | Location: Scottish Parliament Edinburgh EH99 1SP  | Type: Face to face,Scottish Parliament,,https://www.lobbying.scot/SPS/InformationReturn/SearchInformationReturnDetail/49867,Type: None | Lobbyist names: Salena Begley MBE | Entity lobbying on behalf of organisation: None,Scottish lobbying register,97434,
Stuart McMillan MSP,MSP,22/02/2024,Family Fund,Discussion with Stuart McMillan MSP  Member for Greenock and Inverclyde  at Family Fund's exhibition in the Scottish Parliament. We discussed Family Fund's Window to our world research findings  the charity's work in Scotland and the opportunity to signpost Family Fund grants and support to potentially eligible constituents.  The purpose was to support better understanding of the challenges which families of disabled children and young people face and to provide insight into the outcomes of grant funding  with a view to this insight informing future policy decisions. In addition  to share information about the work of Family Fund in Scotland. | Location: Scottish Parliament Edinburgh Edinburgh EH99 1SP  | Type: Face to face,Scottish Parliament,,https://www.lobbying.scot/SPS/InformationReturn/SearchInformationReturnDetail/49866,Type: None | Lobbyist names: Salena Begley MBE | Entity lobbying on behalf of organisation: None,Scottish lobbying register,97435,
Alex Rowley MSP,MSP,22/02/2024,Family Fund,Discussion with Alex Rowley MSP  Member for Mid Scotland and Fife  at Family Fund's exhibition in the Scottish Parliament. We discussed Family Fund's Window to our world research findings  the charity's work in Scotland and the opportunity to signpost Family Fund grants and support to potentially eligible constituents.   The purpose was to support better understanding of the challenges which families of disabled children and young people face and to provide insight into the outcomes of grant funding  with a view to this insight informing future policy decisions. In addition  to share information about the work of Family Fund in Scotland. | Location: Scottish Parliament Edinburgh Edinburgh EH99 1SP  | Type: Face to face,Scottish Parliament,,https://www.lobbying.scot/SPS/InformationReturn/SearchInformationReturnDetail/49864,Type: None | Lobbyist names: Salena Begley MBE | Entity lobbying on behalf of organisation: None,Scottish lobbying register,97436,
Miles Briggs MSP,MSP,22/02/2024,Family Fund,Discussion with Miles Briggs MSP  Member for Lothian   at Family Fund's exhibition in the Scottish Parliament. We discussed Family Fund's Window to our world research findings  the charity's work in Scotland and the opportunity to signpost Family Fund grants and support to potentially eligible constituents.  The purpose was to support better understanding of the challenges which families of disabled children and young people face and to provide insight into the outcomes of grant funding which supports families to enjoy time together  with a view to this insight informing future policy decisions. In addition  to share information about the work of Family Fund. | Location: Scottish Parliament Edinburgh EH99 1SP  | Type: Face to face,Scottish Parliament,,https://www.lobbying.scot/SPS/InformationReturn/SearchInformationReturnDetail/49863,Type: None | Lobbyist names: Salena Begley MBE | Entity lobbying on behalf of organisation: None,Scottish lobbying register,97437,
Monica Lennon MSP,MSP,22/02/2024,Family Fund,Discussion with Monica Lennon MSP  Member for Central Scotland  at Family Fund's exhibition in the Scottish Parliament. We discussed Family Fund's Window to our world research findings  the work of the charity in Scotland and the opportunity to signpost Family Fund grants and support to potentially eligible constituents.  The purpose was to support better understanding of the challenges which families of disabled children and young people face and to provide insight into the outcomes of grant funding which supports families to enjoy time together  with a view to this insight informing future policy decisions. In addition  to share information about the work of Family Fund. | Location: Scottish Parliament Edinburgh Edinburgh EH99 1SP  | Type: Face to face,Scottish Parliament,,https://www.lobbying.scot/SPS/InformationReturn/SearchInformationReturnDetail/49861,Type: None | Lobbyist names: Salena Begley MBE | Entity lobbying on behalf of organisation: None,Scottish lobbying register,97438,
